elapsed,label,,
2523,"SELECT c.c_name, c.c_phone, o.o_orderdate, o.o_totalprice FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE o.o_orderpriority = '1-URGENT' ORDER BY o.o_orderdate DESC;",,2.523
997,"SELECT c.c_name, c.c_acctbal, o.o_orderkey, o.o_totalprice, o.o_orderdate FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE o.o_orderstatus = 'F' AND o.o_totalprice > 100000 ORDER BY o.o_totalprice DESC;",,
397,"SELECT c.c_name, c.c_acctbal, o.o_orderkey, o.o_orderstatus, o.o_orderdate FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE c.c_acctbal < 0 AND o.o_orderstatus = 'O' ORDER BY c.c_acctbal ASC;",,
338,"SELECT c.c_name, c.c_mktsegment, o.o_orderkey, o.o_orderdate, o.o_totalprice FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE o.o_orderpriority = '5-LOW' AND o.o_orderdate > '1997-01-01' ORDER BY o.o_orderdate DESC;",,
435,"SELECT c.c_name, c.c_mktsegment, o.o_orderkey, o.o_totalprice, o.o_orderpriority FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE c.c_mktsegment = 'AUTOMOBILE'AND o.o_totalprice > 200000 ORDER BY o.o_totalprice DESC;",,
309,"SELECT c.c_name, c.c_phone, o.o_orderkey, o.o_orderdate, o.o_totalprice FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE o.o_orderstatus = 'P' AND o.o_shippriority = 0 ORDER BY o.o_orderdate ASC;",,
209,"SELECT c.c_name, c.c_mktsegment, o.o_orderkey, o.o_orderpriority, o.o_totalprice, o.o_orderdate FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE c.c_mktsegment = 'BUILDING' AND o.o_orderpriority = '2-HIGH'AND o.o_orderstatus = 'F' ORDER BY o.o_orderdate DESC;",,
577,"SELECT c.c_name, c.c_acctbal, o.o_orderkey, o.o_orderdate, o.o_totalprice FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE o.o_orderdate BETWEEN '1995-01-01' AND '1995-12-31' ORDER BY o.o_orderdate ASC, o.o_totalprice DESC;",,
258,"SELECT c.c_name, c.c_acctbal, c.c_mktsegment, o.o_orderkey, o.o_totalprice, o.o_orderpriority FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE c.c_acctbal > 8000 AND o.o_orderpriority = '3-MEDIUM' ORDER BY c.c_acctbal DESC;",,
255,"SELECT c.c_name, c.c_mktsegment, o.o_orderkey, o.o_totalprice, o.o_orderdate, o.o_orderstatus FROM customer c INNER JOIN orders o ON c.c_custkey = o.o_custkey WHERE c.c_mktsegment = 'HOUSEHOLD' AND o.o_orderstatus = 'F' AND o.o_totalprice < 20000 ORDER BY o.o_totalprice ASC;",,
